% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         3.3061224489795914E-8    -9.091836734693906E-9    3338277.726230923-8311875.093577092i              8958748.605055328
0                         3.3061224489795914E-8    9.091836734693853E-9     3338396.693130146-8317425.635375321i              8964031.738594424
0                         3.3061224489795914E-8    2.7275510204081612E-8    3375942.869637052-8243425.046236963i              8913869.975176785
0                         3.3061224489795914E-8    4.5459183673469424E-8    3464967.996557551-8068001.378370542i              8791868.36404738
0                         3.3061224489795914E-8    6.364285714285713E-8     3614610.9304267108-7809866.147069078i             8625987.848693538
0                         3.3061224489795914E-8    8.182653061224494E-8     3774582.752575713-7570994.159101945i              8475835.10726787
0                         3.3061224489795914E-8    1.0001020408163265E-7    4009597.697673801-7170774.557040113i              8257709.426778744
0                         3.3061224489795914E-8    1.1819387755102046E-7    4213720.817541154-6601620.433470153i              7914323.004435004
0                         3.3061224489795914E-8    1.3637755102040816E-7    4447582.720291704-6150071.290438533i              7691445.357669679
0                         3.3061224489795914E-8    1.5456122448979587E-7    4758965.588442324-5606264.958150253i              7477422.602107528
0                         3.3061224489795914E-8    1.7274489795918368E-7    5147869.421993017-4970201.436605308i              7303623.232724227
0                         3.3061224489795914E-8    1.909285714285714E-7     5688666.430343047-4467289.778850048i              7461633.3905969225
0                         3.3061224489795914E-8    2.091122448979592E-7     6288672.117530235-3882693.8646830395i             7756554.315857318
0                         3.3061224489795914E-8    2.272959183673469E-7     6918046.328081836-2556521.1753189988i             7411399.193842466
0                         3.3061224489795914E-8    2.454795918367347E-7     7360716.434044339-1266308.6115658625i             7582381.093931804
