% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         3.304576954683778E-8     -4.2753086565281595E-7   -316377.3649072405-1235882.1930993148i            2060097.200986467
0                         3.304576954683778E-8     -4.0933806285907913E-7   -549345.1975528302-2223944.6827180088i            2813582.7441044305
0                         3.304576954683778E-8     -3.9114526006534226E-7   -786630.7951631115-3136300.434902492i             3635171.159307023
0                         3.304576954683778E-8     -3.7295245727160544E-7   -1119683.1955564483-4103400.7378631067i           4607135.298886349
0                         3.304576954683778E-8     -3.5475965447786856E-7   -1256543.112713553-4689920.8967301175i            5164910.115847822
0                         3.304576954683778E-8     -3.365668516841317E-7    -1362058.2165828205-5195827.710948001i            5650477.770209329
0                         3.304576954683778E-8     -3.1837404889039487E-7   -1446256.441463573-5428084.706776475i             5952686.393326363
0                         3.304576954683778E-8     -3.0018124609665805E-7   -1501776.832172487-5478788.061511089i             5949136.141969208
0                         3.304576954683778E-8     -2.819884433029212E-7    -1632610.2647972172-5584879.461960739i            6032709.915103759
0                         3.304576954683778E-8     -2.637956405091843E-7    -1441169.779754418-5259613.943715754i             5709039.928914807
0                         3.304576954683778E-8     -2.456028377154475E-7    -1248147.026830153-4812014.716413321i             5285026.590367549
0                         3.304576954683778E-8     -2.2741003492171061E-7   -1053523.1986819245-4240465.709437694i            4768771.259212765
0                         3.304576954683778E-8     -2.0921723212797377E-7   -940172.5011163227-3547870.9385942216i            3865990.1377282655
0                         3.304576954683778E-8     -1.9102442933423692E-7   -980252.9178137773-2805545.6326310737i            3183035.2550029973
0                         3.304576954683778E-8     -1.728316265405001E-7    -1047526.0639628086-2121689.1478078025i           2602908.7524020458
0                         3.304576954683778E-8     -1.5463882374676323E-7   -1019671.4992819491-1504145.4984321783i           2146263.525723664
0                         3.304576954683778E-8     -1.3644602095302636E-7   -1084552.4927290408-1064067.618986821i            1890260.461960951
0                         3.304576954683778E-8     -1.1825321815928954E-7   -1170057.6314278166-673442.8440836885i            1747189.6646590931
0                         3.304576954683778E-8     -1.0006041536555267E-7   -1276186.9153782772-332271.1737227801i            1714608.8848449606
0                         3.304576954683778E-8     -8.186761257181585E-8    -1402940.3445804196-40552.60790409318i            1773871.8358620727
0                         3.304576954683778E-8     -6.367480977807897E-8    -1352414.1675247233+168855.78090524633i           1695963.0773153778
0                         3.304576954683778E-8     -4.5482006984342155E-8   -1350362.7504405973+311022.3417728074i            1688279.5580803328
0                         3.304576954683778E-8     -2.7289204190605282E-8   -1380773.2437052736+419647.3106934835i            1743314.7445328485
0                         3.304576954683778E-8     -9.09640139686841E-9     -1192487.5113566283+421212.2505177829i            1540077.97665331
0                         3.304576954683778E-8     9.09640139686841E-9      -1194846.0908927072+421743.15938685316i           1541112.5593665002
0                         3.304576954683778E-8     2.7289204190605282E-8    -1267566.4279461186+411189.4659786472i            1595297.6460333255
0                         3.304576954683778E-8     4.5482006984342155E-8    -1247556.1307390495+279101.03171782556i           1552946.9728002457
0                         3.304576954683778E-8     6.367480977807897E-8     -1274793.7846937545+106379.86130043541i           1594363.5599517184
0                         3.304576954683778E-8     8.18676125718158E-8      -1232958.510798261-147511.00323803278i            1567765.4205004931
0                         3.304576954683778E-8     1.0006041536555261E-7    -1215432.2164998483-447010.75450335303i           1615111.7033092296
0                         3.304576954683778E-8     1.1825321815928954E-7    -1222214.9017985146-792119.3924955269i            1753137.2410761171
0                         3.304576954683778E-8     1.3644602095302636E-7    -1253306.566694262-1182836.917214551i             1986965.257618964
0                         3.304576954683778E-8     1.5463882374676318E-7    -873385.230072636-1755946.7288466494i             2352348.766646779
0                         3.304576954683778E-8     1.728316265405001E-7     -851453.1325908811-2249918.7380083944i            2819081.570143948
0                         3.304576954683778E-8     1.9102442933423692E-7    -816469.8988999473-2858237.090762288i             3431402.1080474188
0                         3.304576954683778E-8     2.0921723212797374E-7    -800244.8825723407-3590255.513543023i             4261545.440990528
0                         3.304576954683778E-8     2.2741003492171056E-7    -959617.6106364486-4260062.30107419i              4444419.831234174
0                         3.304576954683778E-8     2.456028377154475E-7     -1107784.9964389645-4798477.186490368i            5037685.6684684185
0                         3.304576954683778E-8     2.637956405091843E-7     -1267409.7934846047-5264981.268656414i            5549163.728685077
0                         3.304576954683778E-8     2.819884433029211E-7     -1272176.1888906907-5400701.411186144i            5671993.957653499
0                         3.304576954683778E-8     3.0018124609665805E-7    -1278593.6395237807-5412283.234208567i            5679682.5058564115
0                         3.304576954683778E-8     3.1837404889039487E-7    -1286662.145383875-5299726.737723688i             5571937.625986695
