% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ 8.8015 GHz                                w (m) @ 8.8015 GHz
0                         4.6196171787029183E-8    -1.5173087398158168E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -1.3575920303615201E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -1.1978753209072235E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -1.0381586114529273E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -8.784419019986307E-8    NaN                                               NaN
0                         4.6196171787029183E-8    -7.187251925443345E-8    NaN                                               NaN
0                         4.6196171787029183E-8    -5.590084830900378E-8    NaN                                               NaN
0                         4.6196171787029183E-8    -3.9929177363574116E-8   NaN                                               NaN
0                         4.6196171787029183E-8    -2.39575064181445E-8     NaN                                               NaN
0                         4.6196171787029183E-8    -7.985835472714834E-9    NaN                                               NaN
0                         4.6196171787029183E-8    7.985835472714834E-9     NaN                                               NaN
0                         4.6196171787029183E-8    2.3957506418144448E-8    NaN                                               NaN
0                         4.6196171787029183E-8    3.9929177363574116E-8    NaN                                               NaN
0                         4.6196171787029183E-8    5.590084830900378E-8     NaN                                               NaN
0                         4.6196171787029183E-8    7.18725192544334E-8      NaN                                               NaN
0                         4.6196171787029183E-8    8.784419019986301E-8     NaN                                               NaN
0                         4.6196171787029183E-8    1.0381586114529268E-7    NaN                                               NaN
0                         4.6196171787029183E-8    1.1978753209072235E-7    NaN                                               NaN
0                         4.6196171787029183E-8    1.3575920303615201E-7    NaN                                               NaN
0                         4.6196171787029183E-8    1.5173087398158168E-7    NaN                                               NaN
0                         4.6196171787029183E-8    1.6770254492701124E-7    NaN                                               NaN
0                         4.6196171787029183E-8    1.836742158724409E-7     NaN                                               NaN
0                         4.6196171787029183E-8    1.9964588681787058E-7    NaN                                               NaN
0                         4.6196171787029183E-8    2.1561755776330025E-7    NaN                                               NaN
0                         4.6196171787029183E-8    2.3158922870872991E-7    NaN                                               NaN
0                         4.6196171787029183E-8    2.475608996541595E-7     NaN                                               NaN
0                         4.6196171787029183E-8    2.6353257059958914E-7    NaN                                               NaN
0                         4.6196171787029183E-8    2.795042415450188E-7     NaN                                               NaN
0                         4.6196171787029183E-8    2.954759124904485E-7     NaN                                               NaN
0                         4.6196171787029183E-8    3.1144758343587815E-7    NaN                                               NaN
0                         4.6196171787029183E-8    3.274192543813078E-7     NaN                                               NaN
0                         4.6196171787029183E-8    3.433909253267374E-7     2.525943182190506E-14                             1.4308147567269855E-13
0                         4.6196171787029183E-8    3.5936259627216704E-7    1.2695497343780106E-14                            1.430842652141498E-13
0                         4.6196171787029183E-8    3.753342672175967E-7     5.3898310854494985E-15                            1.4243420885413734E-13
