% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12
0                         3.3781097628247143E-7    -1.0386707252008429E-7   964964.4270602759+918905.7881968563i
-1.6543612251060553E-24   3.73520735760809E-7      -1.1813917207165913E-7   1589516.03779082+1003366.4306047314i
-8.271806125530277E-25    3.481432612687642E-7     -7.56723390904528E-8     1059440.0366016307+754147.1551201534i
0                         3.225473848719573E-7     -5.6596895764559517E-8   729616.0432371504+647181.4132216971i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   -5766801.568018129-594959.3052292654i
0                         1.220780421927859E-7     -2.2273482788497544E-7   -6525840.5726235835-910709.2789043408i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   -8019535.080513057-1540805.1528309586i
0                         7.448056229228033E-8     -2.7470966566578347E-7   -7765392.4502651105-1725382.4593992056i
-3.3087224502121107E-24   1.8352865659065677E-7    -2.3735387190800953E-7   -3865796.6437517866+48274.766052866755i
3.3087224502121107E-24    1.7756394546135606E-7    -2.0335207816822267E-7   -3736569.9711720645+160816.00635806646i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    -2419964.822143236+613591.8420957932i
0                         2.059510026061127E-7     -2.12004018437044E-7     -2474989.7289474555+525480.4827284376i
-3.3087224502121107E-24   2.3687474334758368E-7    -1.5013343656633706E-7   -612035.8962774376+897424.2323899935i
0                         2.809906343574287E-7     -2.0238054224862738E-7   -52105.83084067002+1198464.8409266833i
0                         2.285285474353789E-7     -1.9109266393329248E-7   -1698510.4463978834+772684.6081381808i
0                         2.4473141976354446E-7    -2.278223636251061E-7    -1584816.3219021838+779261.4114871677i
5.293955920339377E-23     0                        -2.1799999999999991E-7   -9855369.157950664-2368613.1260340414i
1.6543612251060553E-24    5.989077153941894E-8     -2.9157422525523383E-7   -7551478.543722542-1738922.4127084557i
-4.963083675318166E-24    3.486559627778935E-7     1.2183064816546836E-7    788077.9128130396+860220.7845785347i
-8.271806125530277E-25    3.261520207172293E-7     7.509251767450445E-8     807115.604424085+652379.532786077i
-4.963083675318166E-24    3.2438824254503895E-7    1.1696663682194968E-7    1265714.6763033846+1117871.6830265822i
0                         3.2286737959469416E-7    5.579691268901542E-8     704619.792952726+555426.5808531515i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    859228.1092799105+1017587.322758651i
0                         3.163900648998948E-7     6.520876694083002E-8     1236283.7998146182+701560.1458594503i
6.6174449004242214E-24    2.731387494325709E-7     1.6045824761512003E-7    101644.7733697916+1039557.6308659769i
0                         2.40118382919569E-7      1.821382005347734E-7     -849098.9318678279+1040189.6904810285i
0                         2.417815675611352E-7     1.4694938582000425E-7    154702.98190657824+1229200.1607658924i
0                         2.7142591451613846E-7    1.9693099311231565E-7    -551206.5385920565+1068968.8549861687i
6.6174449004242214E-24    1.9077053353123035E-7    1.7843893109443794E-7    -2720079.444141179+510796.65096277354i
3.3087224502121107E-24    1.827670275842819E-7     2.2393899650834713E-7    -3999143.3791522826+32849.96609904308i
-3.3087224502121107E-24   1.3457131188222352E-7    1.9764746760172172E-7    -5719687.101500148-551044.7326501096i
0                         2.1705164509244379E-7    2.2419796653180624E-7    -2521455.55627399+512697.5587303549i
0                         1.528390136559086E-7     2.347632528767295E-7     -5373378.067580389-548941.5499907853i
-6.6174449004242214E-24   9.16313733218809E-8      2.0955171772387743E-7    -7775634.80866266-1430254.7904748528i
-1.6543612251060553E-24   9.53014522433121E-8      2.9921048943762033E-7    -6472556.238607887-1352198.261274646i
5.293955920339377E-23     0                        2.1799999999999997E-7    -9908500.622690246-2397932.188115308i
0                         7.831495770055783E-8     3.225805699964696E-7     -6159899.250917136-1395372.6986328757i
3.3087224502121107E-24    1.7942617095072962E-7    2.5903385663126144E-7    -4113700.7699338146-162745.29700831106i
-3.3087224502121107E-24   4.05E-7                  -3.121866787531193E-7    836811.2496156506+520467.155652832i
0                         4.0500000000000004E-7    -3.4694342761748135E-7   467648.1962567374+349835.5579055894i
-3.3087224502121107E-24   3.8609509271723143E-7    -3.3082506059804267E-7   902561.7440253199+658009.9622635071i
0                         3.6651440745773254E-7    -1.6143933001622153E-7   1499766.925581876+1059309.2651798802i
-3.3087224502121107E-24   3.7131883893163374E-7    -2.1213537535522666E-7   1513131.3486316684+1124302.9487002918i
3.3087224502121107E-24    4.0500000000000004E-7    -2.107337597881088E-7    1125352.3224383823+716077.0884965708i
0                         4.0500000000000004E-7    -2.397036580806863E-7    1178362.9396577298+713554.0896028326i
-1.6543612251060553E-24   4.0500000000000004E-7    -9.739946361074687E-8    1417816.4108486397+778022.4896857799i
0                         4.05E-7                  -1.1714201167276451E-7   1314068.7698653615+740917.362306567i
-3.3087224502121107E-24   4.05E-7                  -1.3424495614328456E-7   1324506.4905507427+761331.058809306i
0                         3.665707625436965E-7     -3.504214866779362E-7    435686.99515939434+501016.648829241i
0                         3.089463317645683E-7     -4.0658160224745466E-7   129249.32824519103+328885.7731174196i
8.271806125530277E-25     3.8411510713301346E-7    -4.4549999999999985E-7   -34397.787681155656-15696.881343039262i
0                         4.0500000000000004E-7    -4.2015684848266105E-7   113717.60914515848+74932.66421111044i
-6.6174449004242214E-24   3.155028589949371E-7     -4.454999999999999E-7    18151.56245317759+13098.737564206172i
3.3087224502121107E-24    2.87063175945506E-7      -4.454999999999999E-7    51939.58756798249+14975.343291160707i
9.926167350636332E-24     2.1722041413852832E-7    -4.454999999999999E-7    -17584.510010597685-5375.539505984801i
0                         2.0840315975913164E-7    -4.052084166440978E-7    -700770.1554200178+106696.27435576635i
-1.6543612251060553E-24   2.4707677954244353E-7    -4.0559583864461137E-7   -727621.6625105126+87576.16274631671i
6.6174449004242214E-24    1.8381193472561107E-7    -4.454999999999999E-7    28208.178533837316+6470.8227983908255i
-1.6543612251060553E-24   3.1589998082376315E-7    -2.9120126283833433E-7   -128416.32050120311+839114.6589794516i
-1.6543612251060553E-24   3.1967893196663337E-7    -2.7490047141194047E-7   32324.077868725617+933667.2515692158i
-6.6174449004242214E-24   3.11885486656784E-7      -2.721278519896205E-7    -32819.563188173925+992335.9396335132i
-3.3087224502121107E-24   3.1835704815807105E-7    -2.652917891428765E-7    167886.45716820058+1007064.1573404486i
