% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
3.3087224502121107E-24    2.470772530883222E-7     -2.3543370847644549E-7   3682498.6414518114-1178010.4562776585i            1.0119985025692299E7
0                         2.2069103669620642E-7    -2.2885546097923546E-7   4182068.037957686-1373568.9517527209i             1.0010068481557986E7
8.271806125530277E-25     1.9445774481720757E-7    -2.8327782105937676E-7   4746620.618147143-770763.1269159521i              9740552.128283735
0                         1.183621861921214E-7     -2.078816710009919E-7    6317398.239746951-2041822.4876648192i             8769674.249635525
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   6329209.356406813-2073992.2424435292i             8674959.79696392
0                         3.0257191062034473E-7    1.576897610256885E-7     1436138.1216688494-1012959.4912722032i            8117439.030207146
0                         2.1731686092286983E-7    1.7520511471491508E-7    3533486.691122115-2061497.9329069864i             8502309.094888834
-3.3087224502121107E-24   3.111376090332974E-7     2.2109966464668137E-7    1684568.0206852613-1035018.6464024362i            9048386.444042506
0                         2.1590675670731769E-7    1.6443578411235084E-7    3023434.3428923693-2098300.5391922705i            7675611.137365169
-1.6543612251060553E-24   3.7398138207890795E-7    1.7497596113962513E-7    934533.1065856814-865921.0621254169i              8006917.922589817
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    3728656.4475518074-2301916.414937472i             8904978.770451026
0                         1.610450647624651E-7     -3.1113300659520074E-7   5060262.840875758-449655.47949106345i             9178966.452946987
0                         1.1244237034527167E-7    -2.0569679271964817E-7   6807555.122860963-1954956.1406548882i             9220989.630298998
0                         1.5542147801101528E-7    -3.257577205699684E-7    5106190.56128595-113023.47906952539i              9092578.617103042
0                         1.1210284432675364E-7    -2.0657976494489885E-7   6968633.264219193-1837423.2960520997i             9440222.529559027
0                         0                        -3.3208373856121613E-7   7285232.788282883+182124.19374512654i             7352841.331634966
-1.0587911840678754E-22   0                        -2.184438086758795E-7    7949244.047477974-1536805.5496605695i             8165359.368763303
0                         1.114934002831982E-7     -2.0583860403134034E-7   6595626.641704278-1847765.502129469i              9136263.479762483
-8.271806125530277E-25    2.043848287327706E-7     3.01824057255159E-7      4895542.91043896-206709.36443448497i              9994412.821598481
0                         9.901265081548767E-8     2.086243933096728E-7     7108082.01006857-1797112.973625126i               8980089.883588195
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    3684988.914949348-2147394.565870821i              9083895.942346955
8.271806125530277E-25     2.0806462318456905E-7    1.7420550492035314E-7    3836458.5841608783-2176392.3672066885i            9219353.831493564
-8.271806125530277E-25    2.0890160161240936E-7    3.0351667623886993E-7    4556938.285421062-236561.04134867605i             9670723.148082152
-8.271806125530277E-25    2.0375301438726548E-7    3.067090812444527E-7     4844355.786472385-389764.79519494885i             1.0167349551702756E7
