% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              886
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=4E-9                               w (m) @ lambda=4E-9
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   NaN                                               NaN
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   NaN                                               NaN
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
3.3087224502121107E-24    1.5707454531081041E-7    6.25005572267353E-8      NaN                                               NaN
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    NaN                                               NaN
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      NaN                                               NaN
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    NaN                                               NaN
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    NaN                                               NaN
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    NaN                                               NaN
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    NaN                                               NaN
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    NaN                                               NaN
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
0                         2.5085145295922413E-7    5.462592438847495E-8     NaN                                               NaN
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    NaN                                               NaN
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      NaN                                               NaN
0                         3.0382501758412077E-7    -4.485991782714857E-8    NaN                                               NaN
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   NaN                                               NaN
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    NaN                                               NaN
0                         2.49260976348461E-7      5.607337329607634E-8     NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
0                         2.5085145295922413E-7    5.462592438847495E-8     NaN                                               NaN
0                         2.49260976348461E-7      5.607337329607634E-8     NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
0                         2.5085145295922413E-7    5.462592438847495E-8     NaN                                               NaN
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    NaN                                               NaN
0                         5.960440285226311E-7     2.988217108289382E-8     NaN                                               NaN
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      NaN                                               NaN
-1.6543612251060553E-24   6.691471139469493E-7     -6.92448852235418E-8     NaN                                               NaN
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    NaN                                               NaN
0                         5.960440285226311E-7     2.988217108289382E-8     NaN                                               NaN
0                         4.997136481438985E-7     -5.4578163674120465E-8   NaN                                               NaN
0                         5.960440285226311E-7     2.988217108289382E-8     NaN                                               NaN
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      NaN                                               NaN
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    NaN                                               NaN
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    NaN                                               NaN
0                         4.0481067694876277E-7    1.360940974810027E-7     NaN                                               NaN
0                         4.862892861970411E-7     7.59710070016916E-8      NaN                                               NaN
0                         5.281021162220563E-7     1.0122790767266414E-7    NaN                                               NaN
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    NaN                                               NaN
0                         5.281021162220563E-7     1.0122790767266414E-7    NaN                                               NaN
0                         5.408635932871615E-7     1.6874223547965604E-7    NaN                                               NaN
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    NaN                                               NaN
0                         5.191967007498003E-7     7.363267056516884E-8     NaN                                               NaN
0                         4.872041077290517E-7     5.2308274107395806E-8    NaN                                               NaN
0                         5.281021162220563E-7     1.0122790767266414E-7    NaN                                               NaN
0                         4.862892861970411E-7     7.59710070016916E-8      NaN                                               NaN
0                         5.191967007498003E-7     7.363267056516884E-8     NaN                                               NaN
0                         5.191967007498003E-7     7.363267056516884E-8     NaN                                               NaN
0                         4.872041077290517E-7     5.2308274107395806E-8    NaN                                               NaN
0                         4.862892861970411E-7     7.59710070016916E-8      NaN                                               NaN
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      NaN                                               NaN
0                         5.191967007498003E-7     7.363267056516884E-8     NaN                                               NaN
0                         5.281021162220563E-7     1.0122790767266414E-7    NaN                                               NaN
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      NaN                                               NaN
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    NaN                                               NaN
0                         5.191967007498003E-7     7.363267056516884E-8     NaN                                               NaN
0                         2.49260976348461E-7      5.607337329607634E-8     NaN                                               NaN
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    NaN                                               NaN
0                         2.49260976348461E-7      5.607337329607634E-8     NaN                                               NaN
0                         2.459427215263416E-7     5.2736472453813216E-8    NaN                                               NaN
0                         1.2144320308462883E-6    -4.4572366844655277E-7   NaN                                               NaN
0                         9.711902279227485E-7     -1.706099099539873E-7    NaN                                               NaN
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   NaN                                               NaN
0                         1.2144320308462883E-6    -4.4572366844655277E-7   NaN                                               NaN
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   NaN                                               NaN
1.3234889800848443E-23    1.214432030846288E-6     -1.0860767275448962E-7   NaN                                               NaN
0                         9.711902279227485E-7     -1.706099099539873E-7    NaN                                               NaN
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   NaN                                               NaN
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   NaN                                               NaN
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   NaN                                               NaN
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   NaN                                               NaN
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   NaN                                               NaN
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   NaN                                               NaN
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   NaN                                               NaN
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   NaN                                               NaN
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   NaN                                               NaN
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   NaN                                               NaN
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   NaN                                               NaN
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   NaN                                               NaN
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   NaN                                               NaN
0                         9.711902279227485E-7     -1.706099099539873E-7    NaN                                               NaN
0                         1.2144320308462883E-6    -4.4572366844655277E-7   NaN                                               NaN
0                         9.711902279227485E-7     -1.706099099539873E-7    NaN                                               NaN
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     NaN                                               NaN
0                         9.711902279227485E-7     -1.706099099539873E-7    NaN                                               NaN
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     NaN                                               NaN
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   NaN                                               NaN
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     NaN                                               NaN
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   NaN                                               NaN
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   NaN                                               NaN
6.6174449004242214E-24    8.550869066977325E-7     -3.054656588009247E-8    NaN                                               NaN
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   NaN                                               NaN
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   NaN                                               NaN
